ds,yhat,yhat_lower,yhat_upper
2026-05-16,7251151.638340998,4247328.609877835,10532583.324385626
2026-05-17,4507754.332577388,1385563.0893969089,7897916.006999852
2026-05-18,5190888.1795551665,2142743.0592267546,8323712.790887184
2026-05-19,7838068.698541267,4795230.496065263,11022486.52238747
2026-05-20,8037207.471172258,4928752.132735696,11271632.672844417
2026-05-21,8045235.409678308,4752203.342219005,11228229.107140213
2026-05-22,8358936.444841366,5240501.125961455,11678474.243815796
2026-05-23,7670715.583934076,4431500.96625778,10765102.626734205
2026-05-24,4904925.983786194,1797934.7614366186,8259662.126910125
2026-05-25,5562554.343107805,2305619.7806313476,8671244.585956689
2026-05-26,8182315.999022229,4936312.6798879905,11399401.765074417
2026-05-27,8353342.515128501,5356152.714836885,11541768.252888551
2026-05-28,8333762.015595763,5132337.682550547,11629516.581613934
2026-05-29,8621491.244352907,5376140.073137873,12092985.629109489
2026-05-30,7909964.613885669,4863472.376723358,11252435.472215943
2026-05-31,5124426.112707257,1815112.3339871133,8405662.999300448
2026-06-01,5766584.471872808,2555804.3579028593,9057149.12500539
2026-06-02,8375683.911490229,5033098.426666038,11645022.396631187
2026-06-03,8541174.00188724,5356391.0206589755,11766144.861152377
2026-06-04,8521279.431413393,5396804.057623427,11696883.72295603
2026-06-05,8813788.970585093,5514086.137789563,12126608.048424067
2026-06-06,8111788.973740948,4975899.9651253605,11435476.62591766
2026-06-07,5339967.127153042,2012447.4394471897,8652434.165334415
2026-06-08,5999286.453429795,2822015.392676644,9361038.153886098
2026-06-09,8628081.284575675,5471444.964734322,12166033.9578925
2026-06-10,8814757.931098571,5542816.084873172,11876270.669072475
2026-06-11,8816399.85817315,5662338.491627707,11957047.363611018
2026-06-12,9129595.534667734,5724250.940460639,12196468.437116763
2026-06-13,8446213.063792381,5546132.101593974,11494761.59614193
2026-06-14,5689746.001483598,2577072.932089541,8760883.19990042
