ds,yhat,yhat_lower,yhat_upper
2026-05-17,590125.102847062,0.0,7140227.181634241
2026-05-18,20808414.114237424,14382369.702959593,26576416.908558216
2026-05-19,17586165.768181887,11197972.60864242,23300889.802077387
2026-05-20,14153280.529825555,7958823.864057083,20367586.172801774
2026-05-21,15670953.006037628,9690064.87922432,21523105.85660859
2026-05-22,15337504.13588945,9078764.571616612,21863859.20002945
2026-05-23,14657360.503767963,8954095.812774839,20613157.435098555
2026-05-24,0.0,0.0,6044260.800013375
2026-05-25,19984752.235045604,14514862.013671702,25860469.598202303
2026-05-26,16824314.73754254,10842390.160847582,22810848.230308067
2026-05-27,13453489.999881914,7781934.979916614,19761962.054635674
2026-05-28,15032575.70496118,9059355.511624638,21100602.291483685
2026-05-29,14759176.576864054,8643851.291459883,20566356.72640184
2026-05-30,14137195.366807949,8075732.488045423,20410164.285560027
2026-05-31,0.0,0.0,5160750.4008323625
2026-06-01,19574142.48074454,13796068.964824867,25517449.393577583
2026-06-02,16465029.206156462,10665114.946040284,22622412.651157387
2026-06-03,13143484.006128343,6909034.280856963,18879502.561235383
2026-06-04,14770200.79760026,8261907.153279763,20692103.365931816
2026-06-05,14543316.45479566,8842113.61627487,20823399.465944532
2026-06-06,13967374.945564423,7871333.96122591,20161792.4829549
2026-06-07,0.0,0.0,5030517.172749506
2026-06-08,19497903.974090252,13372285.378335977,25495286.408986725
2026-06-09,16437879.948296884,10351696.615244104,22493550.823644616
2026-06-10,13167975.238303594,7161501.872048974,19232509.524358634
2026-06-11,14849588.256054828,8923691.16858979,21058342.37308326
2026-06-12,14681473.797976807,8418218.760867825,20518086.04753098
2026-06-13,14168677.512712713,7855419.39244218,19959198.88012943
2026-06-14,0.0,0.0,5805149.3018442765
2026-06-15,19839893.542389557,13791548.41540282,25815187.765253216
